alt-low                     alt-high                    press                       temp                        O3                          H2O                         CO2                         CH4                         O2                          CO                          N2                          
1.200000000000000e+01       1.250000000000000e+01       1.892677339260083e-01       2.000000000000000e+02       1.354063078704200e-07       2.456853767447346e-06       3.600404562003663e-04       1.783191592524178e-06       2.099994404982838e-01       9.118926645099988e-08       7.896360524045816e-01       
1.250000000000000e+01       1.300000000000000e+01       1.750140804363194e-01       2.000000000000000e+02       1.645552228930422e-07       2.329795266961906e-06       3.600464607299525e-04       1.779398793910484e-06       2.099992695489636e-01       8.807183209193752e-08       7.896363221691907e-01       
1.300000000000000e+01       1.350000000000000e+01       1.618358466540857e-01       2.000000000000000e+02       2.094211902068919e-07       2.309267194100021e-06       3.600550693585767e-04       1.773520291177576e-06       2.099990022705537e-01       8.391359745663951e-08       7.896365665378148e-01       
1.350000000000000e+01       1.400000000000000e+01       1.496517441730252e-01       2.000000000000000e+02       2.763463515985128e-07       2.326237081193735e-06       3.600670844222157e-04       1.764703960698882e-06       2.099985980835575e-01       7.853985737268827e-08       7.896368890047694e-01       
1.400000000000000e+01       1.450000000000000e+01       1.383866401292304e-01       2.000000000000000e+02       3.597986210771395e-07       2.347557015315448e-06       3.600811511065204e-04       1.753668084192674e-06       2.099980879326867e-01       7.274694312166649e-08       7.896372971455432e-01       
1.450000000000000e+01       1.500000000000000e+01       1.279710903602850e-01       2.000000000000000e+02       4.567264546621299e-07       2.372466532822373e-06       3.600965260696064e-04       1.740820693471930e-06       2.099974889259283e-01       6.695848462854720e-08       7.896377775758365e-01       
1.500000000000000e+01       1.550000000000000e+01       1.183409079046016e-01       2.000000000000000e+02       5.726950665366738e-07       2.402399160728680e-06       3.601138645273379e-04       1.725438214068680e-06       2.099967652090328e-01       6.104352098081806e-08       7.896383593504775e-01       
1.550000000000000e+01       1.600000000000000e+01       1.094367642744813e-01       2.000000000000000e+02       7.083437416543366e-07       2.437504091656459e-06       3.601330094100804e-04       1.707463181882560e-06       2.099959113288349e-01       5.518231105683809e-08       7.896390471684287e-01       
1.600000000000000e+01       1.650000000000000e+01       1.012038210307056e-01       2.000000000000000e+02       8.638698104977133e-07       2.477783118612967e-06       3.601537634095682e-04       1.686914741967279e-06       2.099949250607225e-01       4.953726723266723e-08       7.896398430709296e-01       
1.650000000000000e+01       1.700000000000000e+01       9.359138934475635e-02       2.000000000000000e+02       1.037561449224922e-06       2.522704126921224e-06       3.601757155147077e-04       1.664083932829170e-06       2.099938169997565e-01       4.428469080951798e-08       7.896407386505290e-01       
1.700000000000000e+01       1.750000000000000e+01       8.655261542158425e-02       2.000000000000000e+02       1.226415533023324e-06       2.571363516346493e-06       3.601983599991124e-04       1.639447165340011e-06       2.099926069322916e-01       3.956311688008221e-08       7.896417179183777e-01       
1.750000000000000e+01       1.800000000000000e+01       8.004418981824928e-02       2.000000000000000e+02       1.429643467414208e-06       2.623400245523893e-06       3.602215152343632e-04       1.613202063858126e-06       2.099913013009556e-01       3.539363858215345e-08       7.896427755443947e-01       
1.800000000000000e+01       1.850000000000000e+01       7.402607883538243e-02       2.000000000000000e+02       1.648855386387744e-06       2.679038527934775e-06       3.602452823269261e-04       1.585250150217080e-06       2.099898917176699e-01       3.172936815425810e-08       7.896439181265705e-01       
1.850000000000000e+01       1.900000000000000e+01       6.846127629712466e-02       2.000000000000000e+02       1.883239805725541e-06       2.737858624682914e-06       3.602694939910840e-04       1.555816667544667e-06       2.099883858619372e-01       2.855831365864138e-08       7.896451391706601e-01       
1.900000000000000e+01       1.950000000000000e+01       6.331557417649165e-02       2.000000000000000e+02       2.130921953614087e-06       2.799174189312888e-06       3.602938982698082e-04       1.525257452482611e-06       2.099867984742144e-01       2.586249690662513e-08       7.896464264114236e-01       
1.950000000000000e+01       2.000000000000000e+01       5.855735063126057e-02       2.000000000000000e+02       2.388991066138352e-06       2.862080608057756e-06       3.603181819532197e-04       1.494032826039177e-06       2.099851505843530e-01       2.361547430746207e-08       7.896477625137193e-01       
2.000000000000000e+01       2.050000000000000e+01       5.415737412645615e-02       2.000000000000000e+02       2.653596426081407e-06       2.925531771369834e-06       3.603420003896757e-04       1.462667883948956e-06       2.099834680305900e-01       2.178259705730919e-08       7.896491263903418e-01       
